timestamp,btc,eth
2021-06-13 02:00:00,35300.3,2325.69
2021-06-13 03:00:00,35599.3,2355.44
2021-06-13 04:00:00,35846.4,2361.81
2021-06-13 05:00:00,36020.6,2372.09
2021-06-13 06:00:00,35934.3,2362.32
2021-06-13 07:00:00,35901.9,2359.48
2021-06-13 08:00:00,35894.3,2355.33
2021-06-13 09:00:00,35803.4,2335.04
2021-06-13 10:00:00,36038.6,2351.91
2021-06-13 11:00:00,36999.0,2398.08
2021-06-13 12:00:00,37330.1,2421.0
2021-06-13 13:00:00,37503.1,2438.97
2021-06-13 14:00:00,37676.2,2431.07
2021-06-13 15:00:00,39276.7,2526.82
2021-06-13 16:00:00,38900.0,2524.48
2021-06-13 17:00:00,38884.6,2523.14
2021-06-13 18:00:00,39034.6,2509.91
2021-06-13 19:00:00,39142.3,2498.9
2021-06-13 20:00:00,39196.1,2501.55
2021-06-13 21:00:00,38986.2,2498.8
2021-06-13 22:00:00,39001.9,2479.6
2021-06-13 23:00:00,39282.6,2488.98
2021-06-14 00:00:00,39447.7,2500.0
2021-06-14 01:00:00,39584.0,2505.62
2021-06-14 02:00:00,39533.0,2500.18
2021-06-14 03:00:00,39040.6,2476.18
2021-06-14 04:00:00,39100.0,2472.88
2021-06-14 05:00:00,39357.1,2489.16
2021-06-14 06:00:00,39176.5,2477.5
2021-06-14 07:00:00,39577.2,2492.04
2021-06-14 08:00:00,40529.9,2557.44
2021-06-14 09:00:00,40550.1,2558.0
2021-06-14 10:00:00,40694.5,2576.87
2021-06-14 11:00:00,40176.8,2579.08
2021-06-14 12:00:00,40228.6,2573.78
2021-06-14 13:00:00,39743.9,2535.44
2021-06-14 14:00:00,39711.3,2539.0
2021-06-14 15:00:00,39819.4,2541.43
2021-06-14 16:00:00,40303.8,2572.06
2021-06-14 17:00:00,40171.5,2556.13
2021-06-14 18:00:00,40530.8,2582.57
2021-06-14 19:00:00,40390.3,2598.35
2021-06-14 20:00:00,39930.5,2571.0
2021-06-14 21:00:00,40278.1,2590.01
