timestamp,IMB_btc,IMB_eth
2021-06-08 07:00:00,8927.671873178375,9463.595159881908
2021-06-08 08:00:00,8779.122258583153,9217.84689592083
2021-06-08 09:00:00,8610.536475857638,9005.401850010776
2021-06-08 10:00:00,8605.927343811427,8978.751715248036
2021-06-08 11:00:00,8728.936944362355,9108.335632931252
2021-06-08 12:00:00,8728.448918616285,9163.110165230837
2021-06-08 13:00:00,8887.436861669103,9404.095426383255
2021-06-08 14:00:00,8924.174355331546,9469.41660775916
2021-06-08 15:00:00,9115.426222707838,9593.330284003494
2021-06-08 16:00:00,9082.701385179742,9528.198110675554
2021-06-08 17:00:00,9072.181719097802,9533.112319922584
2021-06-08 18:00:00,9061.011352021103,9486.540736904579
2021-06-08 19:00:00,8924.60815599472,9278.51847931685
