timestamp,LIN_AAPL,LIN_MSFT,LIN_AMZN,LIN_FB,LIN_GOOGL,LIN_TSLA,LIN_BRK.B,LIN_NVDA,LIN_JPM,LIN_JNJ
2021-06-10 15:00:00+00:00,10000.0,10000.0,10377.167810355582,10000,10000.0,10064.204119069456,10000,10017.397945215349,9859.052688887543,10000
2021-06-10 16:00:00+00:00,10000.0,10000.0,10375.717404865876,10000,10000.0,10064.204119069456,10000,10043.228288592054,9859.052688887543,10000
2021-06-10 17:00:00+00:00,10000.0,10000.0,10393.228321896444,10000,10000.0,10064.204119069456,10000,10058.790472485196,9859.052688887543,10000
2021-06-10 18:00:00+00:00,10000.0,10000.0,10407.769806612601,10000,10000.0,10017.726964779242,10000,10076.467960633438,9859.052688887543,10000
2021-06-10 19:00:00+00:00,10000.0,10000.0,10448.097317529631,10000,10000.0,9981.569705214739,10000,10040.490496981223,9859.052688887543,10000
2021-06-10 20:00:00+00:00,10000.0,10000.0,10454.460386774796,10000,10000.0,9979.606503935276,10000,10043.37238288736,9859.052688887543,10000
2021-06-10 21:00:00+00:00,10000.0,10000.0,10461.166562694945,10000,10000.0,10027.868535388734,10000,10054.89992651191,9859.052688887543,10000
2021-06-10 22:00:00+00:00,10000.0,10000.0,10452.308484092326,10000,10000.0,10024.596533256296,10000,10046.974740270032,9859.052688887543,10000
2021-06-10 23:00:00+00:00,10000.0,10000.0,10461.6341235184,10000,10000.0,9946.886482610898,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 08:00:00+00:00,10000.0,10000.0,10461.6341235184,10000,10000.0,9995.966514597465,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 09:00:00+00:00,10000.0,10000.0,10461.6341235184,10000,10000.0,10001.692518329231,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 10:00:00+00:00,10000.0,10000.0,10464.753587024328,10000,10000.0,10006.92772174113,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 11:00:00+00:00,10000.0,10000.0,10462.133499688083,10000,10000.0,10045.046546584032,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 12:00:00+00:00,10000.0,10000.0,10452.27698066126,10000,10000.0,10028.686535921843,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 13:00:00+00:00,10000.0,10000.0,10458.686837180287,10000,10000.0,9893.225647638918,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 14:00:00+00:00,10000.0,10000.0,10432.43917654398,10000,10000.0,9886.190843054175,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 15:00:00+00:00,10000.0,10000.0,10437.055520898315,10000,10000.0,9907.2952568084,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 16:00:00+00:00,10000.0,10000.0,10421.83406113537,10000,10000.0,9989.654822483992,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 17:00:00+00:00,10000.0,10000.0,10422.145976294447,10000,10000.0,9997.847915823617,10000,10046.974740270032,9859.052688887543,10000
2021-06-11 18:00:00+00:00,10000.0,10000.0,10425.32751091703,10000,10000.0,9950.798161160228,10000,10012.145462436269,9859.052688887543,10000
