timestamp,GRAD_btc,GRAD_eth
2021-06-08 07:00:00,8927.671873178375,9300.35128570688
2021-06-08 08:00:00,8779.122258583153,9058.842097699817
2021-06-08 09:00:00,8610.536475857638,8850.061658290542
2021-06-08 10:00:00,8605.927343811427,8823.871229503435
2021-06-08 11:00:00,8728.936944362355,8951.219867634218
2021-06-08 12:00:00,8728.448918616285,9005.049557439206
2021-06-08 13:00:00,8887.436861669103,9241.877902854532
2021-06-08 14:00:00,8924.174355331546,9306.072315541229
2021-06-08 15:00:00,9115.426222707838,9427.848522015178
2021-06-08 16:00:00,9082.701385179742,9363.839857050378
2021-06-08 17:00:00,9072.181719097802,9368.669297819632
2021-06-08 18:00:00,9061.011352021103,9322.901059144857
2021-06-08 19:00:00,8924.60815599472,9118.467116427912
2021-06-08 20:00:00,8817.622067439735,9029.159611741095
