timestamp,XGB_AAPL,XGB_MSFT,XGB_AMZN,XGB_FB,XGB_GOOGL,XGB_TSLA,XGB_BRK.B,XGB_NVDA,XGB_JPM,XGB_JNJ
2021-06-08 12:00:00+00:00,10061.831153388823,10193.919080679914,10043.525062011513,10250.144372511475,10034.670008354222,10417.222963951936,10025.24641189694,9931.073687202444,9890.697255420095,10006.67111407605
2021-06-08 13:00:00+00:00,10069.361870788744,10167.185380256962,10082.906662922574,10180.693595939334,10005.50211325313,10258.486315086782,9885.699463946052,9867.547786541605,9824.034592516968,9967.250894535751
2021-06-08 14:00:00+00:00,10078.081648830756,10142.446732104381,10160.184708506886,10174.462782286253,9996.153428925856,10067.089452603472,9986.166349645515,9897.605343565694,9824.034592516968,9869.61004305901
2021-06-08 15:00:00+00:00,10036.46452635751,10093.767456707366,10132.478432473752,10139.813379532538,9996.444276882705,10029.697930574099,10005.879301400659,9860.72621331628,9824.034592516968,9852.932257868884
2021-06-08 16:00:00+00:00,10053.507728894172,10107.533317372916,10179.20157251837,10163.824807756604,10012.794087028402,10044.225634178905,9987.895555939825,9906.20336815178,9824.034592516968,9858.693674570926
2021-06-08 17:00:00+00:00,10044.16963931827,10085.787247625889,10174.287452613842,10126.287954773412,9988.217434674705,10028.621495327101,9996.36866678195,9891.565408939105,9824.034592516968,9901.146218691249
2021-06-08 18:00:00+00:00,10089.972255251683,10111.72292714069,10216.533283412115,10152.578948968116,9995.447083887795,10077.209612817089,10016.600380425387,9928.941945569532,9824.034592516968,9916.004609133362
2021-06-08 19:00:00+00:00,10046.76971858898,10076.610007182187,10184.365298513283,10141.63703230905,9963.41225892634,10071.762349799732,9999.65415874114,9923.825765650538,9824.034592516968,9909.030262599308
2021-06-08 20:00:00+00:00,10040.428061831151,10076.210996728114,10184.271696229387,10140.117321661957,9965.44819462428,10041.05473965287,10001.729206294312,9908.335109784695,9824.034592516968,9900.539753775245
2021-06-08 21:00:00+00:00,10040.428061831151,10075.81198627404,10196.096784761548,10139.50943740312,9965.44819462428,10030.040053404538,10001.38336503545,9912.882825268245,9824.034592516968,9909.030262599308
